Date, Open, High, Low, Close
04/15/19, 289.54, 290.74, 289.12, 289.38
04/12/19, 286.89, 288.62, 285.83, 288.37
04/11/19, 288.33, 288.71, 286.38, 287.42
04/10/19, 285.44, 288.01, 285.10, 287.92
04/09/19, 286.51, 288.02, 285.38, 286.71
04/08/19, 287.78, 287.83, 285.09, 286.38
04/05/19, 286.03, 287.53, 285.93, 286.68
04/04/19, 285.29, 287.75, 284.97, 286.15
04/03/19, 281.88, 285.65, 281.22, 285.65
04/02/19, 281.67, 282.47, 281.00, 281.72
04/01/19, 278.41, 280.93, 278.41, 280.32
03/29/19, 276.33, 277.01, 274.32, 276.48
03/28/19, 275.02, 276.20, 273.90, 275.08
03/27/19, 277.01, 278.16, 274.87, 277.28
03/26/19, 278.43, 278.49, 276.91, 277.60
03/25/19, 279.12, 279.21, 277.19, 277.45
03/22/19, 283.92, 284.55, 282.09, 283.13
03/21/19, 281.14, 284.39, 280.63, 282.38
03/20/19, 278.84, 280.07, 276.34, 279.92
03/19/19, 280.30, 280.40, 278.63, 279.82
03/18/19, 280.27, 280.77, 278.92, 279.93
03/15/19, 276.42, 280.50, 276.31, 279.87
03/14/19, 276.79, 277.40, 274.78, 276.64
03/13/19, 276.92, 277.12, 274.04, 276.00
03/12/19, 277.41, 278.48, 276.94, 277.73
03/11/19, 275.50, 276.28, 273.88, 275.06
03/08/19, 277.18, 278.00, 274.84, 274.84
03/07/19, 279.33, 280.98, 277.44, 278.87
03/06/19, 280.09, 280.26, 278.72, 279.85
03/05/19, 281.42, 281.89, 279.53, 280.45
03/04/19, 286.12, 286.68, 282.16, 282.51
02/28/19, 288.13, 288.62, 283.80, 283.80
02/27/19, 288.90, 289.41, 288.09, 288.76
02/26/19, 288.52, 289.20, 287.06, 287.89
02/25/19, 290.19, 290.32, 287.84, 289.00
02/22/19, 287.29, 288.74, 286.54, 288.74
02/21/19, 287.43, 289.28, 286.05, 288.41
02/20/19, 286.55, 289.22, 286.21, 288.40
02/19/19, 285.36, 286.12, 283.16, 284.91
02/18/19, 285.60, 287.02, 284.64, 285.90
02/15/19, 286.42, 286.42, 282.81, 283.98
02/14/19, 284.25, 288.68, 282.91, 288.68
02/13/19, 285.09, 285.59, 284.13, 284.97
02/12/19, 282.12, 284.32, 281.43, 283.69
02/11/19, 281.75, 282.19, 280.02, 282.10
02/08/19, 283.85, 284.01, 280.95, 281.49
02/07/19, 287.54, 287.67, 284.97, 285.65
02/01/19, 287.07, 288.34, 285.43, 285.79
01/31/19, 288.85, 288.87, 285.89, 285.89
01/30/19, 282.86, 286.63, 282.24, 286.62
01/29/19, 281.12, 283.00, 279.65, 283.00
01/28/19, 282.56, 283.46, 280.47, 281.64
01/25/19, 277.30, 281.72, 277.04, 281.67
01/24/19, 274.10, 276.64, 273.74, 276.61
01/23/19, 271.35, 274.51, 271.03, 273.87
01/22/19, 274.08, 274.60, 271.45, 272.71
